// HUD sprite entries the mod adds on top of Half-Life's hud.txt.
// Every name needs all four resolution lines.  Regenerate sprites/hud.txt with:
//   python utils/sprtool/make_hud_txt.py <valve>/sprites/hud.txt sprites/hud_additions.txt sprites/hud.txt
//
// name           res   file                x  y  w    h
item_syringe      320   top/syringe_320     0  0  20   20
item_syringe      640   top/syringe_640     0  0  44   44
item_syringe      1280  top/syringe_1280    0  0  88   88
item_syringe      2560  top/syringe_2560    0  0  132  132
item_security     320   top/security_320    0  0  20   20
item_security     640   top/security_640    0  0  44   44
item_security     1280  top/security_1280   0  0  88   88
item_security     2560  top/security_2560   0  0  132  132
item_shard        320   top/shard_320       0  0  20   20
item_shard        640   top/shard_640       0  0  44   44
item_shard        1280  top/shard_1280      0  0  88   88
item_shard        2560  top/shard_2560      0  0  132  132
// Drawn over an item's icon on the pickup history when it went into the Inventory.
inv_carried       320   top/carried_320     0  0  20   20
inv_carried       640   top/carried_640     0  0  44   44
inv_carried       1280  top/carried_1280    0  0  88   88
inv_carried       2560  top/carried_2560    0  0  132  132
